keyword,count,platform
땅따리,1,naver
똥별보다는,1,naver
낫다!,1,naver
이걸로,1,naver
물고,1,naver
늘어지는,1,naver
졸렬한,1,naver
김병주,3,naver
병주야..너라면,1,naver
총리시켜준다면,1,naver
넙죽,1,naver
받아먹었겠지만,1,naver
정치인이,1,naver
자기,1,naver
신념과,1,naver
다르면,1,naver
아무리,1,naver
좋은것도,1,naver
거절할줄,1,naver
알아야,1,naver
되는거야...,1,naver
국무총리,1,naver
자리,1,naver
거절하는게,1,naver
쉬워,1,naver
보이냐?,1,naver
경기지사,1,naver
한번,1,naver
해보겠다고,1,naver
그짧은,1,naver
팔다리로,1,naver
아둥바둥,1,naver
거리잖아,1,naver
ㅉㅉㅉ,1,naver
병주야,1,naver
참아라.,1,naver
유승민도,1,naver
"제안받았는데,",1,naver
제안한적없다!,1,naver
라고하니까,1,naver
밝힌거잖아.,1,naver
쪽팔리게,1,naver
굴지말자,1,naver
별것도아니다,1,naver
총리,4,naver
제안이,1,naver
사실이었네....아니라고,1,naver
하더니.....입만열면,1,naver
거짓말,3,naver
빙주가,1,naver
어떻게,2,naver
별4개,1,naver
달았는지,1,naver
지금도,1,naver
불가사리여.,1,naver
사의?,1,naver
똥별은,1,naver
"달은거야,",1,naver
아부근성으로,1,naver
딱그렇게,1,naver
생겨ㅆ네,1,naver
정치도의를,1,naver
무시하긴했지.,1,naver
유승민의,1,naver
그릇의,1,naver
한계.,1,naver
다음에,1,naver
누가,1,naver
유승민에게,1,naver
무슨말을,1,naver
하겠는가?,1,naver
이것으로,1,naver
유승민은,1,naver
유승민,5,naver
저사람,1,naver
절대,1,naver
안된다,1,naver
관상봐라,1,naver
이가,1,naver
이재명,1,naver
정청래,1,naver
우원식,1,naver
김병기,1,naver
추미애.,1,naver
무능,2,naver
멍청한,1,naver
인간들,2,naver
보다,1,naver
백번,1,naver
낫긴,1,naver
하지,1,naver
보수,1,naver
의원들이,1,naver
스쳐만,1,naver
가도,1,naver
유능,1,naver
하니,1,naver
적극적,1,naver
영입하려하네,1,naver
대통령도,1,naver
마찬가지,1,naver
이야,2,naver
라도는,1,naver
사기꾼.,1,naver
멍청.,1,naver
인간들.,1,naver
많다보니,1,naver
경상도,1,naver
인물을,1,naver
대통으로,1,naver
계속.,1,naver
구해,1,naver
하잔아,1,naver
미숙한,1,naver
